,season,episode_number,title,desc
41,10,21,Sasori no sugao,"Granny Chiyo and Sakura manage to expose Sasori, who amazingly looks no older than he did twenty years earlier. Chiyo is even more shocked at the second puppet that Sasori produces."
42,10,22,Chiyo no oku no te,Sakura is caught by Sasori's tactic and surrounded by a poison cloud. But she uses a Paper Bomb to blow herself free from the poisonous fumes.
43,10,23,'Chichi' to 'Haha',"Chiyo and Sakura take cover, and Sasori wastes no time unleashing a ruthless attack. Chiyo fights back to protect Sakura, but in an instant the Father and Mother puppets are sealed by the Iron Sand."
44,10,24,Sandaime Kazekage,Sakura counters the Iron Sand attack of the Third Kazekage puppet with superhuman strength. She learned from Tsunade that the most important skill of a Medic Ninja is the ability to evade an attack.
45,10,25,Sei to shi no san bun kan,"Sakura reveals that she took an antidote against Sasori's poison which will make her immune to it for three minutes, forcing herself and Chiyo to end the battle quickly. Meanwhile, Naruto and Kakashi continue their pursuit of Deidara. Deidara attempts to split up Naruto and Kakashi by creating a swarm of explosive jumping crickets out of his clay and has them pursue Kakashi. Kakashi makes a shadow clone as a decoy and the crickets, mistaking the shadow clone for the real Kakashi, detonate harmlessly. Kakashi then catches back up with Naruto and reveals a plan. Sakura ..."
46,10,26,Jû-ki VS Hyaku-ki,"Naruto and Kakashi continue to pursue Deidara while Sakura and Chiyo continue the battle with Sasori. Sakura manages to shatter Sasori's puppet body, but he reforms. Chiyo summons the Ten Puppets of Chikamatsu. Sasori, remarking on Chiyo's ability to control so many puppets, summons one hundred human puppets and the final battle begins. Sakura and Chiyo seem to trap and defeat Sasori but, under cover of the battle, Sasori, who had transferred himself to another puppet, attacks Chiyo from behind. Sakura intercedes, taking the sword thrust meant for Chiyo."
47,10,27,Kanawanu yume,"Chiyo injects the last remaining antidote into Sakura and manages to stab Sasori in his only living part, his heart, using the Father and Mother puppets. With Sasori immobilized, Chiyo revives the nearly dead Sakura using her Resurrection Technique. As he dies, Sasori rewards Sakura for defeating him, telling her where he planned to meet with one of his spies who had been working undercover as one of Orochimaru's subordinates. Meanwhile as Kakashi and Naruto are pursuing Deidara, Kakashi reveals his plan to activate his version of Mangekyo Sharingan."
48,10,28,Yomigaeru kemono-tachi,"Team Guy senses the result of the Sakura and Granny Chiyo's desperate struggle while still in battle with his deadly copy. Although Guy's team members are showing fatigue, their copies remain strong!"
49,10,29,Kakashi kaigan!,"Sakura hurries to get to Naruto with Granny Chiyo, who is suffering from the poison. The members of Team Guy rush to assist Team Kakashi."
50,10,30,Shunkan no bigaku,"Naruto loses all reason to anger and is gradually taken over by the Nine-Tailed Fox Spirit. Having been forewarned by Jiraiya, Kakashi narrowly manages to suppress the Nine-Tailed Fox."
51,10,31,Tsuga re yuku mono,"Relying on Naruto's power, Granny Chiyo performs the Transmigration Jutsu on Gaara. Sakura is saddened when she realizes the cost of this jutsu."
52,10,32,Kazekage no kikan,"Deidara survives his battle and begins to search for his missing arm. Meanwhile, Zetsu and his subordinate, Tobi, who wishes to join Akatsuki, search Sasori's remains for his ring. Deidara later finds the two searching for his own ring. The leaf ninja leave Sunagakure after their victory, and Danzo gives Sai instructions for his new team, Team Kakashi. The leaf and sand ninja pay their respects at Chiyo's grave, and Gaara and Naruto shake hands before departing."
53,10,33,The New Target,Everyone has returned to the Hidden Leaf Village. Kakashi is hospitalized for a week due to the strain caused by his Mangekyo Sharingan.
54,10,34,Kessei! Shin Kakashi han,"Naruto, Choji and Shikamaru attempt to capture and interrogate Sai, but Sai withdraws after insulting Naruto. Shortly afterward, Ino appears. Concerned that the demon fox could fall into Akatsuki hands, the village elders challenge Tsunade's plan to send Naruto out of the village without the still bedridden Kakashi. Tsunade promises to protect Konoha with her own life if Naruto is captured, but is still forced to compromise with Danzo by adding Sai to Team Kakashi. She also temporarily replaces Kakashi with ANBU member Yamato and warns him to keep an eye on Sai. ..."
55,10,35,Gadatensoku,"Yamato takes temporary leadership of Team Kakashi while Sai insults both Naruto and Sakura. While preparing to set off, Sai receives an envelope from a Root shinobi containing secret orders from Danzo, and Sakura consults with Tsunade. Jiraiya then meets with Tsunade and Yamato in Kakashi's hospital room to brief Yamato on the demon fox within Naruto, detailing the ""demon fox's cloak"", and revealing a scar he got from Naruto when the fourth tail formed. Finally the new Team Kakashi set off on their new mission, to intercept an Akatsuki spy and gather information about..."
56,10,36,Itsuwari no egao,"The new Team Kakashi heads for Tenchikyo. To Naruto, Sai is just temporarily filling in for Sasuke. When Sai shows his contempt for Sasuke, the antagonism comes to a head."
57,10,37,Mudai,"Sakura comes across Sai working on an abstract painting. He tells her that he's unable to give it a title. Bothered by his manner, Sakura finds an unusual picture book among Sai's things."
58,10,38,Shimyurêshon,"In preparation for Tenchikyo, Yamato conducts a half-day simulation in order to get a grasp on the fighting skills and jutsu of Team Kakashi. Sai abandons Naruto to conclude the simulated mission successfully."
59,10,39,Tenchikyô,"The day for capturing the spy is finally here. Just as planned, Yamato takes on Sasori's likeness and waits until the Akatsuki spy appears. The spy turns out to be none other than Kabuto."
60,10,40,Kyûbi kaihô!!,"Faced with Orochimaru, his sworn enemy, Naruto suddenly releases the power of his Nine-Tailed Fox. When Yamato sees Naruto's fourth tail appear, he recalls Jiraiya's tale of how he nearly lost his life to the transformed Naruto."
61,10,41,Gokuhi ninmu sutâto,"When his third tail appears, all that Naruto can see is Orochimaru. He is blind even to his teammates."
62,10,42,Orochimaru vs Jinchûriki,"With the release of his fourth tail, Naruto completely loses his awareness and is overtaken by destructive impulses."
63,10,43,Sakura no namida,"Although he has changed almost completely into his animal form and has lost all awareness, Naruto refuses to give up the idea of bringing Sasuke home."
64,10,44,Tatakai no tenmatsu,"Taking advantage of the confusion, Sai makes contact with Orochimaru. After reviewing the contents of the documents given to him, Orochimaru decides to take Sai back to the hideout."
65,10,45,Uragiri no hate,Naruto and Sakura are shocked when they hear that Danzo's goal is to work with Orochimaru to once again attempt to defeat the Leaf Village.
66,10,46,Mikan no pêji,Naruto is shocked to learn that he was the one responsible for the destruction around them and for Sakura's injuries.
67,10,47,Sennyû! Dokuhebi no ajito,"Sai shudders when he finally meets Sasuke face to face in Orochimaru's hideout. The list that Sai gave to Orochimaru lists the members of the Anbu Black Ops, the corps under the direct control of the Hokage."
68,10,48,Tsunagari,"Team Kakashi is able to find Sai with Yamato guiding them. They immediately begin questioning Sai about Danzo's plans for destroying the Leaf Village, and surprisingly, Sai divulges everything."
69,10,49,Taisetsu na mono,"Kabuto carries out a surprise attack on Team Kakashi to take back Sai, but a change has come over Sai since Sakura pointed out his contradictions."
70,10,50,Ehon ga kataru sutôrî,"Naruto, while nursing his injuries caused by the release of the Nine-Tailed Fox, searches frantically for Sasuke. Seeing this, Sai recalls the feelings he once had for his older brother and finally manages to complete his unfinished picture."
71,10,51,Saikai,"Team Kakashi are stunned to learn that Sai's true mission is to kill Sasuke. Naruto wants to believe that the smile Sai showed them was real, but there is a possibility that it was all an act."
72,10,52,Uchiha no chikara,"Team Kakashi finally have their wish to be reunited with Sasuke granted. Although it has been three long years, Sasuke's feelings have not changed. His ultimate goal is to get revenge against his older brother, Itachi."
73,10,53,Taitoru,"Sasuke's desire for revenge remains firm, no matter how hard Naruto tries to talk him out of it. Yamato tries to take Sasuke by force, but interference by Orochimaru brings things to a quick close."
74,10,54,Akumu,"Naruto's been having nightmares about a mysterious person releasing the Nine-Tail's power. After remembering their recent encounter with Sasuke, Naruto realizes that he must get stronger. Meanwhile, Sai tries to adapt to everyday life with Naruto and Sakura. When the group goes to visit Kakashi to discuss the situation, Kakashi lets Naruto know that he has special training for him that will make him stronger, fast. They are joined by Team 10, who have also come to visit."
75,10,55,Kaze,"Naruto begins to train with Kakashi. Kakashi finds it exhausting working with Naruto, who can't understand anything explained to him."
76,10,56,Ugomeku,"Learning that his chakra is of the ""wind"" type that is outstanding for fighting, Naruto puts more effort into his training."
77,10,57,Ubawareta nemuri,"Team Kakashi is ordered to resolve the frequent vandalizing of graves at the Fire Temple. When it becomes clear that the vandals aren't after the possessions buried with the dead, Yamato suspects that they want the corpses of the ninja buried in the four hidden tombs near Fire Temple."
78,10,58,Kodoku,"At the Fire Temple, Chiriku explains to Team Kakashi that the hidden tombs hold the guards of the Land of Fire's feudal lord. At one time Chiriku and Asuma were members of that organization. Team Kakashi learn about a terrible incident caused by the Twelve Ninja Guardians. Meanwhile, as Naruto watches the young monks training, he notices a strain in the relations between Sora and the other monks."
79,10,59,Aratana teki,"Word comes that the last of the hidden graves has been broken into. Naruto and the others go after the coffin, but it turns out to be a trap."
80,10,60,Uitenpen,"Know what this is about?
 Be the first one to add a plot."
81,10,61,Sesshoku,"Sora confronts Furido, the mysterious figure who has broken into the hidden graves. Impressed by Sora's unusual strength, he admonishes him, ""You should reevaluate how you use that power Heaven has blessed you with,"" and disappears, leaving him with a cryptic message that he is an old friend of his father."
82,10,142,Unraikyô no tatakai,"Flame from the Amaterasu still remains on the battlefield as Naruto and his teammates continue to search for Sasuke. But despite the search team's best efforts, they cannot find any trace of him."
83,10,143,"""Hachibi"" tai ""Sasuke""","The Taka split up with the Akatsuki to hunt down the remaining Tailed Beast. At the Land of Lightning they go up against Killer Bee, whose attack utilizing Lightning Style and seven blades proves to be more than a match for them."
84,10,144,Fûraibô,"The Leaf ninja fail to capture Itachi and also lose track of Sasuke. Calling off their pursuit, the team is heading back to the village when an urgent assignment from Lady Tsunade comes in. The mission stems from a treaty between the Third Hokage and the En no Gyoja of the Tsuchigumo Clan..."
85,10,145,Kinjutsu no keishôsha,"Naruto and his teammates are assigned to escort Hotaru, En no Gyoja's granddaughter, to the Tsuchigumo Clan's village located in the mountains. But Hotaru's mind is still attached to Utakata, who left after Naruto's arrival..."
86,10,146,Keishôsha no omoi,"Having arrived at the village, Hotaru parts with Naruto and his team. But the Magaki Troops are one step ahead and threaten Hotaru to hand over the forbidden jutsu. Utakata appears, and Shiranami recognizes him as a bounty listed in the Hidden Mist's bingo book..."
87,10,147,Nukenin no kako,"Yamato and Sai recognize their opponents as trackers from the Hidden Mist Village, but Naruto attacks without questioning. The Hidden Mist demands Utakata be handed over to them in exchange for Hotaru."
88,10,148,Yami no kôkeisha,"Hotaru is brought back to the fort in Mount Katsuragi. Naruto, outraged to learn the forbidden jutsu was embedded inside Hotaru, demands an explanation from Tonbei. But it was none other than Hotaru herself who wished for this."
89,10,149,Betsuri,"Believing Shiranami's story, Hotaru writes a parting letter addressed to Utakata and leaves Mount Katsuragi. Meanwhile Naruto, still searching for Shiranami, falls into the Magaki Troops' trap but manages to escape thanks to help from Utakata."
90,10,150,Kinjutsu hatsudô,"Naruto and Utakata successfully enter the Tsuchigumo village thanks to help from Sakura, Sai, and Yamato. Utakata senses the chakra filling the atmosphere and terrain behaving oddly, and together with Naruto, they enter the cave where the anomaly is originating."
91,10,151,Shitei,Naruto has a strange nightmare several days after their failure to bring Sasuke home. Even after he awakens wisps of the dream keep haunting him.
92,10,152,Hihô,"Returning from the mission, Naruto recollects his strange encounter with Itachi. What did the now deceased Itachi wish to tell him? As Naruto ponders this, Kakashi makes an abrupt visit."
93,10,153,Shi no kage o ote,"Naruto wanders the streets of the Leaf Village, grief stricken over the death of Jiraiya. Unable to overcome his feeling of loss, Naruto traces back through his memories of Jiraiya. What can help the heartbroken Naruto get back on his feet?"
94,10,154,Angô kaidoku,"Naruto and his friends successfully decipher the code Jiraiya left behind with the help of some information Naruto has. The crew immediately calls Fukasaku over, but the message is not enough to solve the mystery of Pain."
95,10,155,Daiichi no kadai,"At Mount Myoboku, Naruto begins his Sage Jutsu training under Fukasaku. The first challenge is ""Don't move."" Fukasaku explains that an extensive amount of time is necessary in order to take in nature energy."
96,10,156,Shi o koeru toki,"Naruto continues his Sage training at Mount Myoboku, but with very slow progress. Fukasaku runs out of patience and suggests they move on to the next training..."
97,10,157,Konoha shûgeki!,"Shikamaru and the others wait for the information Jiraiya brought back to be analyzed. The Hidden Leaf ninja continue their data analysis, when disaster strikes the village"
98,10,158,Shinjiru chikara,"The Leaf Village is under heavy attack from Pain and Konan. Hearing the Akatsuki attack, Tsunade attempts to contact Fukasaku..."
99,10,159,Pain vs. Kakashi,"In one area of the village, Kakashi enters battle against Tendo Pain, but he can't keep up with Tendo's mysterious attacks. Shurado joins the fight, and Kakashi struggles with the two-on-one disadvantage."
100,10,160,Pain no nazo,"The Leaf Village is under heavy attack from the Akatsuki. Underneath the village Danzo takes action to achieve his ambition. Meanwhile, searching through the Rain ninja's mind, Inoichi Yamanaka is about to stumble upon valuable information."
101,10,161,"Sei wa Sarutobi, na wa Konohamaru!",Konohamaru Sarutobi fights Naraka Pain.
102,10,162,Sekai ni itami o,"Tsunade comes face to face with Tendo Pain on the rooftop of the Hokage mansion. When Pain demands the Nine Tails be handed over, Tsunade refuses."
103,10,163,Bakuhatsu! Sen'nin modô,"Sensing danger at hand, Naruto, along with Fukasaku, rushes back to the Leaf Village from Mount Myoboku. But what they see is the remains of the Leaf Village, leveled beyond recognition."
104,10,164,Pinchi! Kieta sen'nin môdo,"Naruto hits Pain with his Sage Jutsu-perfected Wind Style Rasen Shuriken. Although he succeeds in defeating Ningendo, the remaining Pain quickly confronts him."
105,10,165,Kyûbi hokaku kanryô,"Gamabunta and the other toads are defeated while Naruto is captured by Pain. Naruto attempts to fight back with Sage Jutsu, but Gakido sucks out his chakra, forcing him to go out of Sage Mode."
106,10,166,Kokuhaku,"Fukasaku and Shima fall in battle, leaving Naruto open to be captured by Tendo Pain. Just when all is thought to be lost, Hinata, who was following the battle with her Byakugan, steps in to face Pain."
107,10,167,Chibaku Tensei,Naruto loses himself after seeing Hinata taken out right before his eyes. His anger triggers the Nine Tails' chakra to go out of control.
108,10,168,Yondaime Hokage,"Naruto meets Minato Namikaze, the Fourth Hokage, inside his inner world."
109,10,169,Futari no deshi,"By chance, Naruto and Sora get Asuma to coach them. Under the guidance of Asuma's iron fist, they immerse themselves in training with Wind Chakra."
110,10,170,Daibôken! Yondaime no isan o sagase - Zenpen,"The story goes back to right before the start of the final rounds of the Chunin Exam. As Naruto trains in preparation for his upcoming match, he hears Jiraiya speak of ""the Fourth Hokage's legacy."""
111,10,171,Daibôken! Yondaime no isan o sagase - Kôhen,Naruto and the others take on the oncoming challenges in order to find the secret technique and break the previous record set by the Fourth Hokage. But Naruto's impulsive action leads the group into various troubles.
112,10,172,Deai,"Naruto comes face to face with Nagato and Konan. Naruto, wanting to confront the problem of their hate-filled ninja world, asks to hear Nagato's side of the story before coming up with an answer."
113,10,173,Pein tanjô,"To fulfill their dream, Nagato, Yahiko, and Konan walk through the war zone in search of Jiraiya, hoping to learn ninjutsu from him. After completing their training, the three form an organization with Yahiko as its leader."
114,10,174,Uzumaki Naruto monogatari,"Naruto remains silent after learning of Nagato's painful past. Nagato claims true peace cannot exist in this cursed world, dismissing Jiraiya's ideal as nothing more than wishful thinking."
115,10,175,Konoha no eiyû,"Nagato, having decided to believe in Naruto's word, performs his last forbidden jutsu: Gedo Art Rinne Rebirth."
116,10,176,Kako-hen ~Konoha no kiseki~ Shinmai kyôshi Iruka,"The Leaf Village is left in ruins in the wake of Pain's assault on the village. While cleaning through the remains of Ninja Academy, Iruka finds an old pillar and recognizes it as a memoir from Naruto's early years at the academy."
117,10,177,Kako-hen ~Konoha no kiseki~ Iruka no shiren,"Naruto spends his days competing with Sasuke, the academy's star student, only to screw up and be the laughingstock of the class. Due to the childhood trauma of losing his parents to the Nine-Tailed Fox, Iruka finds it difficult to interact with Naruto as his student."
118,10,178,Kako-hen ~Konoha no kiseki~ Iruka no ketsui,"Naruto takes up his classmates' dare to venture into the forest and retrieve an item from dead enemy ninja, unaware that the forest is dangerous."
119,10,179,Kako-hen ~Konoha no kiseki~ Tantô Jônin Hatake Kakashi,"An emergency council is held before the Feudal Lord of the Land of Fire. The topic is to discuss plans to rebuild the Leaf Village, and Danzo strongly urges the council to select a new Hokage to replace Tsunade."
120,10,180,"Kako-hen ~Konoha no kiseki~ Inari, tamesureru yûki","The Leaf ninja work to rebuild the Hidden Leaf Village. While helping with the restoration, Naruto and Sakura are reunited with two old friends--the carpenter Tazuna and his grandson Inari from the Land of Waves."
121,10,181,"Kako-hen ~Konoha no kiseki~ Naruto, adauchi shinanjuku","Team 7 stops in a town for some rest, where they encounter a man named Tsukado who is out to avenge the death of his relative."
122,10,182,"Gaara ""kizuna""","Gaara, recalling a past mission carried out with the Leaf's Team 7, points out that the Leaf Village has Naruto with them."
123,10,183,Naruto: Autobureiko,"Naruto visits Sakura, who is caring for Tsunade. Sakura recalls an incident that took place three years before, in which she collapsed from symptoms that resembled a disease caused by a mysterious virus."
124,10,184,Shutsugeki! Tenten-han,Tenten and Neji head for the Leaf Ninja Tool Research Lab to procure ninja tools necessary for rebuilding the Leaf Village.
125,10,185,Animaru bangaichi,"Condor, the ostrich previously captured by Team 7, now lives in a forest with baby ostriches. Since his last escape, Condor has trained himself to become a ninja ostrich."
126,10,186,"Aa, seishun no kanpôgan","After accidentally finishing off Lee's last special youth drink, Naruto asks Guy to make more, only to learn one of its key ingredients, the Jofuku Flower, is out of stock. Naruto is determined to get the Jofuku Flower for Lee's sake."
127,10,187,Dokonjô shitei shûgyô-hen,Jiraiya takes Naruto to a village in the hopes of teaching him how to counter the Sharingan's genjutsu attack.
128,10,188,Dokonjô shitei ninpû-roku,"Naruto and Jiraiya attempt to save a village from Kandachi, a former right-hand man to Hanzo of the Hidden Rain."
129,10,189,Sasuke no nikukyû taizen,"Granny Cat requests that Sasuke and Team 7 collect the last cat paw print necessary to complete the ""Paw Encyclopedia."""
130,10,190,Naruto to rôhei,"Naruto is assigned to a team led by jonin Hayama to patrol the north border of the Leaf Village. One of his teammates is Kosuke, an old man who has been a genin for over fifty years, earning him the title ""Eternal Genin."""
131,10,191,Kakashi koi-uta,A beautiful kunoichi spy named Hanare is captured for attempting to gather intel on the Hidden Leaf.
132,10,192,Neji gaiden,"During the Chunin Exam, Neji rests in the medical room, having lost to Naruto. Just as Tenten comes in to check up on him, they see the Leaf Village attacked by Orochimaru and his men."
133,11,62,Chîmumeito,Yamato believes that the assailants were not grave robbers but were after Sora. He decides to appoint Sora to Team Kakashi as a temporary stand-in for the injured Sai.
134,11,63,Futatsu no gyoku,"Asuma supervises Naruto and Sora's wind chakra training, and notices that Sora, like Naruto, has very powerful chakra. Tsunade and Yamato learn from Chiriku that Sora was inadvertently responsible for an incident in which the Temple of Fire was destroyed. Later, Asuma gives Sora a claw made from the same materials as his chakra blades. It is revealed that Asuma killed Sora's father Kazuma, who had planned to kill the Hokage. Furido then approaches Sora, telling him that Asuma is responsible for his father's death and passing him two ""king"" pieces from a Shogi set for ..."
135,11,64,Shikkoku no noroshi,"Danzou is brought in for questioning after being caught meeting with a young Rain ninja. Sora confronts Asuma, and Asuma admits to having killed Kazuma. He attacks Asuma, his arm once again assuming a demonic form. Afterward, Naruto gets injured while shielding Sora from the attacks of an unknown individual, presumably from Root. Furido then approaches Sora, telling him to kill both Asuma and the Hokage to avenge his father. Later on, Naruto catches Sora going after Tsunade. Sora retreats as Shizune and a few other ninja arrive, but Naruto pursues him. At that moment,..."
136,11,65,Ankoku no sejô,"Under cover of a giant power outage, Furido begins his assault on the Hidden Leaf. The village immediately goes on alert, but Furido's men put up a barrier, and everyone in the village is trapped inside. Naruto and Asuma finally catch up to Sora, who is planning an escape in the midst of the panic. He explodes with anger at Naruto's demand to know why he attacked Tsunade. But Asuma is quick to suspect that there is someone behind Sora, someone who knows about the coup d'état incident involving two groups within the Guardian Shinobi Twelve, and realizes that the ..."
137,11,66,Yomigaeru tamashi,"In order to stop the impending disaster, Asuma rushes toward the electric generator system. There he sees the Guardian Shinobi Twelve who have come to life once more through Revival Jutsu after their graves were robbed."
138,11,67,Sorezore no shitô,"Sora refuses to let Furido destroy the village despite his grudge against Asuma and the Hokage. He is beaten up by Furido, who claims that his father had a similar flaw. Asuma gets trapped by Kitane in a force field of lightning. Meanwhile, Yamato and Sakura kill their opponents, and Shikamaru heads to the battlefield with a plan to defeat the zombies. Just as he puts it into motion, however, Fuen's barrier falls and Fudo's revival technique ends, and the zombies turn to dust."
